paddle_number,paddle_end,pb_number_channel
1,A,04-11
1,B,04-12
2,A,04-09
2,B,04-10
3,A,04-07
3,B,04-08
4,A,04-05
4,B,04-06
5,A,04-03
5,B,04-04
6,A,04-01
6,B,04-02
7,A,12-16
7,B,12-15
8,A,12-14
8,B,12-13
9,A,12-12
9,B,12-11
10,A,12-10
10,B,12-09
11,A,12-08
11,B,12-07
12,A,12-06
12,B,12-05
13,A,15-02
13,B,15-01
14,A,15-04
14,B,15-03
15,A,15-06
15,B,15-05
16,A,15-08
16,B,15-07
17,A,15-10
17,B,15-09
18,A,15-12
18,B,15-11
19,A,07-05
19,B,07-06
20,A,07-07
20,B,07-08
21,A,07-09
21,B,07-10
22,A,07-11
22,B,07-12
23,A,07-13
23,B,07-14
24,A,07-15
24,B,07-16
25,A,04-14
25,B,04-13
26,A,04-16
26,B,04-15
27,A,13-12
27,B,13-11
28,A,13-10
28,B,13-09
29,A,13-08
29,B,13-07
30,A,13-06
30,B,13-05
31,A,13-04
31,B,13-03
32,A,13-02
32,B,13-01
33,A,22-10
33,B,22-09
34,A,22-08
34,B,22-07
35,A,22-12
35,B,22-11
36,A,22-06
36,B,22-05
37,A,22-14
37,B,22-13
38,A,22-04
38,B,22-03
39,A,22-16
39,B,22-15
40,A,22-02
40,B,22-01
41,A,12-04
41,B,12-03
42,A,12-02
42,B,12-01
43,A,06-06
43,B,06-05
44,A,06-08
44,B,06-07
45,A,06-10
45,B,06-09
46,A,06-12
46,B,06-11
47,A,06-14
47,B,06-13
48,A,06-16
48,B,06-15
49,A,08-10
49,B,08-09
50,A,08-08
50,B,08-07
51,A,08-12
51,B,08-11
52,A,08-06
52,B,08-05
53,A,08-14
53,B,08-13
54,A,08-04
54,B,08-03
55,A,08-16
55,B,08-15
56,A,08-02
56,B,08-01
57,A,05-04
57,B,05-03
58,A,09-14
58,B,09-13
59,A,21-04
59,B,21-03
60,A,19-14
60,B,19-13
61,A,18-11
61,B,18-12
62,A,18-09
62,B,18-10
63,A,18-07
63,B,18-08
64,A,18-05
64,B,18-06
65,A,18-03
65,B,18-04
66,A,18-01
66,B,18-02
67,A,02-02
67,B,02-01
68,A,02-04
68,B,02-03
69,A,02-06
69,B,02-05
70,A,02-08
70,B,02-07
71,A,02-10
71,B,02-09
72,A,02-12
72,B,02-11
73,A,18-13
73,B,18-14
74,A,18-15
74,B,18-16
75,A,14-01
75,B,14-02
76,A,14-03
76,B,14-04
77,A,14-05
77,B,14-06
78,A,14-07
78,B,14-08
79,A,03-15
79,B,03-16
80,A,03-13
80,B,03-14
81,A,03-11
81,B,03-12
82,A,03-09
82,B,03-10
83,A,03-07
83,B,03-08
84,A,03-05
84,B,03-06
85,A,03-03
85,B,03-04
86,A,03-01
86,B,03-02
87,A,23-15
87,B,23-16
88,A,23-13
88,B,23-14
89,A,23-11
89,B,23-12
90,A,23-09
90,B,23-10
91,A,02-14
91,B,02-13
92,A,02-16
92,B,02-15
93,A,23-01
93,B,23-02
94,A,23-03
94,B,23-04
95,A,23-05
95,B,23-06
96,A,23-07
96,B,23-08
97,A,25-15
97,B,25-16
98,A,25-13
98,B,25-14
99,A,25-11
99,B,25-12
100,A,25-09
100,B,25-10
101,A,25-07
101,B,25-08
102,A,25-05
102,B,25-06
103,A,25-03
103,B,25-04
104,A,25-01
104,B,25-02
105,A,14-15
105,B,14-16
106,A,14-13
106,B,14-14
107,A,14-11
107,B,14-12
108,A,14-09
108,B,14-10
109,A,13-16
109,B,13-15
110,A,13-14
110,B,13-13
111,A,15-16
111,B,15-15
112,A,15-14
112,B,15-13
113,A,05-10
113,B,05-09
114,A,05-08
114,B,05-07
115,A,05-06
115,B,05-05
116,A,19-02
116,B,19-01
117,A,19-04
117,B,19-03
118,A,19-06
118,B,19-05
119,A,11-16
119,B,11-15
120,A,11-14
120,B,11-13
121,A,11-12
121,B,11-11
122,A,11-10
122,B,11-09
123,A,11-08
123,B,11-07
124,A,11-06
124,B,11-05
125,A,11-04
125,B,11-03
126,A,11-02
126,B,11-01
127,A,09-16
127,B,09-15
128,A,05-02
128,B,05-01
129,A,06-02
129,B,06-01
130,A,06-04
130,B,06-03
131,A,07-02
131,B,07-01
132,A,07-04
132,B,07-03
133,A,09-08
133,B,09-07
134,A,09-10
134,B,09-09
135,A,09-12
135,B,09-11
136,A,21-16
136,B,21-15
137,A,21-14
137,B,21-13
138,A,21-12
138,B,21-11
139,A,20-02
139,B,20-01
140,A,20-04
140,B,20-03
141,A,20-06
141,B,20-05
142,A,20-08
142,B,20-07
143,A,20-10
143,B,20-09
144,A,20-12
144,B,20-11
145,A,20-14
145,B,20-13
146,A,20-16
146,B,20-15
147,A,21-02
147,B,21-01
148,A,19-16
148,B,19-15
149,A,05-12
149,B,05-11
150,A,05-14
150,B,05-13
151,A,05-16
151,B,05-15
152,A,09-01
152,B,09-02
153,A,09-03
153,B,09-04
154,A,09-05
154,B,09-06
155,A,21-05
155,B,21-06
156,A,21-07
156,B,21-08
157,A,21-09
157,B,21-10
158,A,19-08
158,B,19-07
159,A,19-10
159,B,19-09
160,A,19-12
160,B,19-11
